method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
MutCount (0 labels),200,3,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,3,0.06666666666666667,0.08333333333333331,0.030000000000000006,0.125,0.0,0.20000000000000004
Ridge(compact),200,3,0.16666666666666663,0.20833333333333334,0.19,0.7916666666666665,0.20000000000000004,0.8000000000000002
MutCount (0 labels),200,4,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,4,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Ridge(compact),200,4,0.23333333333333334,0.29166666666666674,0.19,0.7916666666666665,0.20000000000000004,0.8000000000000002
MutCount (0 labels),200,5,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,5,0.06666666666666667,0.08333333333333331,0.07000000000000002,0.29166666666666674,0.0,0.4000000000000001
Ridge(compact),200,5,0.16666666666666663,0.20833333333333334,0.19,0.7916666666666665,0.20000000000000004,0.5999999999999999
MutCount (0 labels),200,6,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,6,0.06666666666666667,0.08333333333333331,0.04000000000000001,0.16666666666666663,0.20000000000000004,0.20000000000000004
Ridge(compact),200,6,0.26666666666666666,0.33333333333333326,0.20000000000000004,0.8333333333333334,0.4000000000000001,0.8000000000000002
MutCount (0 labels),200,7,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,7,0.06666666666666667,0.08333333333333331,0.05000000000000001,0.20833333333333334,0.0,0.20000000000000004
Ridge(compact),200,7,0.20000000000000004,0.25,0.20000000000000004,0.8333333333333334,0.4000000000000001,1.0
MutCount (0 labels),200,8,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,8,0.03333333333333333,0.04166666666666666,0.05000000000000001,0.20833333333333334,0.20000000000000004,0.5999999999999999
Ridge(compact),200,8,0.33333333333333326,0.4166666666666667,0.19,0.7916666666666665,0.0,0.5999999999999999
MutCount (0 labels),200,9,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,9,0.10000000000000002,0.125,0.08000000000000002,0.33333333333333326,0.0,0.20000000000000004
Ridge(compact),200,9,0.29999999999999993,0.375,0.18000000000000002,0.75,0.4000000000000001,1.0
MutCount (0 labels),200,10,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,10,0.10000000000000002,0.125,0.10000000000000002,0.4166666666666667,0.20000000000000004,0.4000000000000001
Ridge(compact),200,10,0.23333333333333334,0.29166666666666674,0.22000000000000003,0.9166666666666667,0.20000000000000004,1.0
MutCount (0 labels),200,11,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,11,0.10000000000000002,0.125,0.04000000000000001,0.16666666666666663,0.0,0.0
Ridge(compact),200,11,0.26666666666666666,0.33333333333333326,0.19,0.7916666666666665,0.0,0.8000000000000002
MutCount (0 labels),200,12,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,12,0.06666666666666667,0.08333333333333331,0.07000000000000002,0.29166666666666674,0.20000000000000004,0.20000000000000004
Ridge(compact),200,12,0.3666666666666666,0.45833333333333337,0.20000000000000004,0.8333333333333334,0.5999999999999999,0.8000000000000002
MutCount (0 labels),200,13,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,13,0.10000000000000002,0.125,0.10000000000000002,0.4166666666666667,0.0,0.5999999999999999
Ridge(compact),200,13,0.20000000000000004,0.25,0.18000000000000002,0.75,0.20000000000000004,0.5999999999999999
MutCount (0 labels),200,14,0.13333333333333333,0.16666666666666663,0.08000000000000002,0.33333333333333326,0.4000000000000001,0.4000000000000001
Random,200,14,0.03333333333333333,0.04166666666666666,0.04000000000000001,0.16666666666666663,0.0,0.4000000000000001
